Collection, location
Dwarven Theodolite, Find and reassemble its seven parts in Nchuleftingth in Vvardenfell
Sixth House Robe, Collect seven parts in the Forgotten Wastes in Vvardenfell
Big-Eared Ginger Kitten, Collect seven runebox fragments in Karnwasten in Summerset
Psijic Glowglobe, Collect seven runebox fragments in Sunhold in Summerset
Grisly Mummy Tabby, Find and use ten Mummified Alfiq Parts from the Sunhold in Summerset
Peryite Skeevemaster, Find and use ten Plague-Drenched Fabrics from the Orcest in Northern Elsweyr
Grisly Mummy Tabby, Rimmen Necropolis in Northern Elsweyr
Master Field Cartographer, Collect and combine all of the Cartographer Fragments at Nchuthnkarst in Blackreach Greymoor Caverns
Target Stone Husk, Combine Stone Husk Fragments found in Labyrinthian in Western Skyrim
Thrafey Debutante Gown, Silent Halls in Blackwood
Replica Zenithar Adytum Gate, Zenithar's Abbey in Blackwood
"Eviscerate, Violet Purple", Acquire and use 25 Phials of Tainted Blood drop from enemies in the Deetra Grotto Public Dungeon located in Solstice
"Soul Trap, Wormwrithe", Obtain and use 25 Worm-Touched Soul Gems in the Calindvale Gardens in Eastern Solstice.
Apple-Bobbing Cauldron, collect the Apple-Bobbing memento pieces available during the 2018 Witches Festival
Alliance Breton Terrier, As a Daggerfall Covenant charcter collect and combine ten Breton Terrier Mammoth Bones found inside of Pelinal's Midyear Boon Boxes (2021)or from the Impersario
Cadwell's Surprise Box, Combine 5 Revelry Shards which can be obtained from Jester's Festival Boxes or bought from the Impresario during the 2022 Jester's Festival
Festive Noise Maker, Consume 5 Festive Noise Maker Parts found in Stupendous Jester's Festival Boxes
Jester's Festival Joke Popper, Consume 5 Joke Popper Parts found in Stupendous Jester's Festival Boxes
Microtized Verminous Fabricant, "Combine ten Sealed Fabrication Materials found during the Pan-Tamriel Celebration from January 23 to February 4, 2025, when it could be obtained through Pan-Tamriel Reward Boxes or Event Ticket purchase from Philius Dormier"
Playful Prankster's Surprise Box, Obtained by combining 5 Mirth Shards which can be obtained from Jester's Festival Boxes or bought from the Impresario
Skeletal Marionette, "obtained by consuming ten Skeletal Marionette Parts, which were found in all varieties of Plunder Skull during the 2019 Witches Festival"
Sovereign Sow, Find and combine all seven Sovereign Sow collectible fragments found in Stupendous Jester's Festival Boxes during the 2020 Jester's Festival
Throwing Bones, "Assemble a set of 10 Rune-Carved Bone Fragments, which can drop from Plunder Skulls during the Witches Festival. This item was introduced to the event in 2020"
Voriplasm, "Find and using seven Voriplasm Trap parts, which could be found in Murkmire Strongboxes or bought from the Impresario during the  Murkmire Celebration, the Bounties of Blackwood event, and the Bounties of Blackwood event"
Wooden Grave-Stake, Obtained by collecting all seven Grave Stake fragments from Murkmire Strongboxes during the Murkmire Celebration event in 2020. The fragments were also made available for purchase from Philius Dormier in Alinor for 1 Event Tickets each during the Pan-Tamriel Celebration in 2025.
Swamp Jelly, Collect seven runebox fragments from Cyrodilic Collections daily jobs in Stormhold
Guar Stomp, Find and combine seven Runebox Fragments in Northern Elsweyr Defense Force Cache containers
Captain Kaleen, use 10 Scraps of the Spearhead's Colors, acquired from Tales of Tribute match rewards.
Card Conjuring, Complete the achievement 'Card Conjurer.'
Mosaic Skill Shred Skill Styles, Acquire and use 20 Mosaic Style Shreds from Mirrormoor Incursions at West Weald Mosaics
